stabbr,tax2010,tax2020,tax2030,tax2040,diff.tot,pch.tot,rtax2010,rtax2020,rtax2030,rtax2040,diff.pc,pch.pc,region
MD,6477.263888305929,6292.483284779751,6084.727610688451,6069.410368159215,-392.53627761747794,-6.060217468152942,1090.6545556889437,1059.5408307405708,1024.5585177878766,1021.9793700747094,-66.09603790106712,-6.060217468152928,mdatl
DE,1907.0794661174677,1842.9093902442894,1782.4397500653286,1778.3046376308553,-124.63971605213919,-6.535633059165974,1009.8173594071754,975.8386722457357,943.8194022285631,941.6298194693651,-65.9979571786123,-6.535633059165974,mdatl
NJ,18854.907766747914,18246.057408133915,17745.00880880917,17735.318893590516,-1109.8989579387453,-5.886525522528089,1054.471189954184,1020.4208954582344,992.3994742298256,991.8575603388866,-62.07171572435834,-5.886525522528046,mdatl
NY,59708.48644138955,59340.688189365246,57602.014947426076,57110.566531068,-2106.4714939634723,-3.527926463236014,1516.4288069433212,1507.0877584968741,1462.9303137670336,1450.4488964659333,-53.49849317628764,-3.527926463236014,mdatl
PA,19883.60072036813,19456.586203911815,18629.992435317392,18642.97446968609,-1253.6082850507373,-6.304734754438016,788.3113884555,771.3818387681788,738.6104463743532,739.1251361270841,-49.70094208114688,-6.30473475443803,mdatl
CT,11318.530606749719,11201.776892847985,10746.859452567467,10556.137386723276,-571.6711541822515,-5.050754148611304,1583.1094441699402,1566.7792407591264,1503.15047824147,1476.4744092233336,-79.9589659284702,-5.050754148611276,neng
MA,19393.661089822013,19228.404395654692,18645.82887566875,18554.143961426562,-747.8322141532626,-3.8560651889793576,1442.5733087110625,1430.2808954845202,1386.9467415283473,1380.126873454719,-55.626567182715235,-3.856065188979372,neng
ME,2488.9602371306833,2459.0263353634887,2344.78220380282,2317.9440984312696,-144.17803332786343,-5.792701352837781,942.2402593375406,930.9082473016144,887.6590950879124,877.4990519549737,-54.58116424962816,-5.79270135283781,neng
VT,1116.9752001568957,1122.0698138120554,1084.2688005126363,1077.3182074522229,-32.70639964425936,-2.9281222752004936,910.534064016511,914.6870830588094,883.8725132647553,878.2065398879656,-26.661550751755726,-2.9281222752004794,neng
RI,1809.811659254393,1848.896233087302,1813.7339158486802,1773.4031724003703,3.922256594287319,0.21672181048404582,864.6998545492254,883.3738558662236,866.5738477292574,847.3044459573719,1.8739931800320164,0.21672181048404582,neng
NH,141.30574011722385,150.6516735985547,158.02500401907756,155.74010902126685,16.719263901853708,11.831977871517324,54.088174787393164,57.66555588507694,60.487875659345136,59.61327707679708,6.399700871951971,11.831977871517324,neng
HI,3579.464806964795,3482.7691975246607,3338.5111678568596,3317.853334844119,-240.9536391079355,-6.731554913994302,1300.9587242225898,1265.8146444567008,1213.3839732931463,1205.8758709564042,-87.57475092944355,-6.731554913994316,other
GA,19139.42710325,18296.337791369533,17632.52116049356,17584.325786100595,-1506.905942756439,-7.873307464362696,953.6341810077246,911.6267175076822,878.5516298517292,876.1502645371012,-75.08255115599536,-7.873307464362711,other
MI,17733.063786316146,17181.987297607324,16498.811282304585,16391.58328789391,-1234.2525040115615,-6.960176306160832,897.0376283570725,869.1610948696012,834.6022278908166,829.1780357174448,-62.43540046625594,-6.960176306160832,other
KY,8472.645524343861,8195.037422776457,7949.431908844252,7922.684050461237,-523.2136154996097,-6.17532757621332,973.9625943728527,942.0504948940478,913.8172137005432,910.7424463837958,-60.14538067230944,-6.17532757621332,other
OR,12259.984551567097,12062.090113817858,11796.089641275223,11765.676676041832,-463.8949102918741,-3.7838131715474077,1533.4260888309345,1508.6743044870934,1475.4041105058056,1471.6001877413491,-58.021978325128885,-3.7838131715473935,other
IA,6735.314333937084,6637.585014037687,6401.930563441075,6417.807186083621,-333.38377049600876,-4.949787849042096,1089.6056999583993,1073.7955359874486,1035.6725294193882,1038.2409705744271,-53.933170539011144,-4.949787849042124,other
VA,18735.46199048326,18403.104470459853,17869.499391447003,17818.034611477036,-865.9625990362583,-4.622050950631092,1137.1334317481264,1116.9612658573956,1084.574545156068,1081.4509327310777,-52.55888659205834,-4.622050950631092,other
SC,7175.383509110395,6952.045543598795,6673.2301633217985,6671.779782501667,-502.1533457885962,-6.9982788397446,750.6408159665398,727.2766860276901,698.1088785802672,697.9571494021817,-52.5319373862726,-6.998278839744614,other
WI,12747.661742347133,12547.073758830968,12163.371158437463,12010.86974400657,-584.2905839096693,-4.583511829221848,1109.9062852253053,1092.4416028274595,1059.0335993487265,1045.7556914622694,-50.87268587657877,-4.583511829221848,other
NC,19956.421618199336,19518.510929148277,19005.275543597218,18827.298937352814,-951.1460746021185,-4.76611535273797,1011.0717171926816,988.8854194271488,962.8828728523696,953.8658698876923,-48.188844340312016,-4.766115352737984,other
