stabbr,agebrk,wtdn,rtax,popgroup,totpop,share2010,share2020,share2030,share2040,tax2010,tax2020,tax2030,tax2040
AK,"(-1,4]",108526.14,0,00to04,1401002.46,0.07602596901571461,0.07119310257429326,0.07057247215967068,0.06885125551249752,0,0,0,0
AK,"(4,9]",108044.1,0,05to09,1401002.46,0.0716485199885671,0.0714634684589745,0.07247651066155066,0.07054606186323877,0,0,0,0
AK,"(9,14]",94146.27,0,10to14,1401002.46,0.07154855251319642,0.07283912770513692,0.07009949030179538,0.07095763665325779,0,0,0,0
AK,"(14,19]",96269.39,0,15to19,1401002.46,0.073414142722579,0.0633510766003057,0.06493891605721555,0.06725198254404387,0,0,0,0
AK,"(19,24]",99235.58,0,20to24,1401002.46,0.07662154989010618,0.061511593512172856,0.06435688728241606,0.06324584878920762,0,0,0,0
AK,"(24,29]",111354.44,0,25to29,1401002.46,0.07802954250096096,0.07581296866695869,0.06723446283888779,0.07037685346455996,0,0,0,0
AK,"(29,34]",109772.51,0,30to34,1401002.46,0.06716969549343806,0.08122356770468142,0.06701349608798776,0.07159574277686352,0,0,0,0
AK,"(34,39]",89277.83,0,35to39,1401002.46,0.06453252533330706,0.07514905809383436,0.07503815589847086,0.06795438083577811,0,0,0,0
AK,"(39,44]",85047.87,0,40to44,1401002.46,0.0663741796683051,0.06105724360204025,0.07587872856756049,0.06392741299811243,0,0,0,0
AK,"(44,49]",73959.62,0,45to49,1401002.46,0.07705380362163859,0.05619170568906282,0.06724984144869042,0.06857041003300726,0,0,0,0
AK,"(49,54]",98831.79,0,50to54,1401002.46,0.07926998399112402,0.05691460225646423,0.053806643528510494,0.06828190406240957,0,0,0,0
AK,"(54,59]",86352.61,0,55to59,1401002.46,0.07035879875702412,0.06284554423943148,0.04710063839787512,0.057561580999789294,0,0,0,0
AK,"(59,64]",93904.8,0,60to64,1401002.46,0.05060043844889902,0.060097806173993906,0.044345312723276534,0.04281015388927759,0,0,0,0
AK,"(64,69]",58325.39,0,65to69,1401002.46,0.03126025194619779,0.056282444152093554,0.05032292812357794,0.03853533619916411,0,0,0,0
AK,"(69,74]",38227.9,0,70to74,1401002.46,0.018512286847518624,0.03531047115447158,0.04198022191062609,0.03165007767220177,0,0,0,0
AK,"(74,79]",25198.15,0,75to79,1401002.46,0.012519870295720688,0.020192052297798788,0.0363913206315192,0.033245411857583056,0,0,0,0
AK,"(79,84]",17833.3,0,80to84,1401002.46,0.008426835775965848,0.010107164500709169,0.019297882350457523,0.02344184655778493,0,0,0,0
AK,"(84,1e+09]",6694.77,0,85+,1401002.46,0.006633053189736861,0.008457002617576578,0.011896091029911475,0.021196103291222828,0,0,0,0
AL,"(-1,4]",637664.84,0,00to04,9601911.41,0.06380205936060067,0.05980944320510489,0.05882022243605475,0.05813621382521455,0,0,0,0
AL,"(4,9]",618087.94,0,05to09,9601911.41,0.06448661599720151,0.06145332346407721,0.06070997672574906,0.06009567084870697,0,0,0,0
AL,"(9,14]",562288.18,0,10to14,9601911.41,0.06687712459432905,0.06554394142389704,0.06292260418432184,0.06323978927453736,0,0,0,0
AL,"(14,19]",618695.7,38.139824625773215,15to19,9601911.41,0.07185982656782718,0.06577841629804422,0.06419456684700253,0.06480966650174153,26316161.998056185,24089057.014923606,23509027.244119696,23734286.0978101
AL,"(19,24]",686278.81,528.2531298464686,20to24,9601911.41,0.07015492069018038,0.06439959088146681,0.0646363973576289,0.06341297075791137,355842577.7224516,326650165.0644731,327851304.2870663,321645791.25084907
AL,"(24,29]",659242.84,943.6990718689792,25to29,9601911.41,0.06507346849282053,0.06339679315422896,0.05942970996682843,0.059271414675515194,589651188.7236664,574458305.5194577,538511315.5803173,537076952.100791
