stabbr,popgroup,wtdn,rincome,txblsales,share2010,share2020,share2030,share2040,totpop,txc2010,txc2020,txc2030,txc2040
AK,00to04,108526.14,0,NaN,0.07602596901571461,0.07119310257429326,0.07057247215967068,0.06885125551249752,629135963.87,NaN,NaN,NaN,NaN
AK,05to09,108044.1,0,NaN,0.0716485199885671,0.0714634684589745,0.07247651066155066,0.07054606186323877,629135963.87,NaN,NaN,NaN,NaN
AK,10to14,94146.27,0,NaN,0.07154855251319642,0.07283912770513692,0.07009949030179538,0.07095763665325779,629135963.87,NaN,NaN,NaN,NaN
AK,15to19,96269.39,4597.276808534675,5079.923354172732,0.073414142722579,0.0633510766003057,0.06493891605721555,0.06725198254404387,629135963.87,234628845335.3561,202467663616.94373,207542338938.8432,214934812634.80756
AK,20to24,99235.58,20264.592994710063,10187.958886177645,0.07662154989010618,0.061511593512172856,0.06435688728241606,0.06324584878920762,629135963.87,491114354583.0701,394265406931.00397,412502634128.52716,405381309210.2555
AK,25to29,111354.44,39067.02736203909,17273.75291272895,0.07802954250096096,0.07581296866695869,0.06723446283888779,0.07037685346455996,629135963.87,847989110982.2686,823900407977.2625,730673159712.7675,764823212982.5267
AK,30to34,109772.51,43462.55222782999,17265.61708781058,0.06716969549343806,0.08122356770468142,0.06701349608798776,0.07159574277686352,629135963.87,729625487271.307,882284558967.99,727928783624.2837,777703074673.3615
AK,35to39,89277.83,51985.06380817387,19260.41400113865,0.06453252533330706,0.07514905809383436,0.07503815589847086,0.06795438083577811,629135963.87,781967656796.5654,910612633932.9044,909268785549.5648,823431714112.5228
AK,40to44,85047.87,53630.31143317757,19224.37995086325,0.0663741796683051,0.06105724360204025,0.07587872856756049,0.06392741299811243,629135963.87,802779030570.5342,738472024409.224,917734162061.1909,773186002297.4102
AK,45to49,73959.62,53259.65321474529,19112.483024790294,0.07705380362163859,0.05619170568906282,0.06724984144869042,0.06857041003300726,629135963.87,926521936691.7572,675668760450.6936,808635659924.2107,824514639348.5558
AK,50to54,98831.79,63281.07756752195,23391.164568199438,0.07926998399112402,0.05691460225646423,0.053806643528510494,0.06828190406240957,629135963.87,1166554751049.63,837567971173.207,791830557872.2712,1004851717942.0392
AK,55to59,86352.61,61055.665315960214,23653.413076702058,0.07035879875702412,0.06284554423943148,0.04710063839787512,0.057561580999789294,629135963.87,1047024259105.9818,935217919547.4662,700914624654.9675,856586137966.953
AK,60to64,93904.8,52875.01819337009,21694.623719709954,0.05060043844889902,0.060097806173993906,0.044345312723276534,0.04281015388927759,629135963.87,690638705368.8019,820267023840.6885,605263319986.998,584310139695.5024
AK,65to69,58325.39,43838.44699686363,19023.215514104333,0.03126025194619779,0.056282444152093554,0.05032292812357794,0.03853533619916411,629135963.87,374128604366.65283,673598930591.0891,602274316244.1969,461198187903.4919
AK,70to74,38227.9,58809.859660038084,27015.61993907403,0.018512286847518624,0.03531047115447158,0.04198022191062609,0.03165007767220177,629135963.87,314644048043.80756,600154355530.9724,713516761518.1611,537940484701.2366
