stabbr,2010_tax,2020_tax,2030_tax,2040_tax,pch2040,css,stname
AL,29127.387294806616,28813.683955280412,28435.062170441033,28278.68658149038,-1.8567475600147532,0,Alabama
AK,29765.541672241314,29305.767840241264,28958.295756736567,28869.890472922085,-1.4873432755467775,0,Alaska
AZ,29035.166708420187,28696.576005884934,28374.939177516982,28265.18609784793,-1.5032800705859017,0,Arizona
AR,28856.57857927327,28621.265280289455,28317.707190091067,28182.863481383887,-1.5317345149219506,0,Arkansas
CO,29402.707049881294,29011.894613358825,28611.564609528625,28539.439089620584,-1.6284890388395894,0,Colorado
CT,29449.331371322423,28930.74922977207,28431.948442525038,28187.33804895779,-2.569622981105695,0,Connecticut
DE,29307.36863878695,28781.520861782315,28256.47679505846,28049.763883888958,-2.5424541719232963,0,Delaware
DC,28903.927114717313,29163.93239237572,29365.317513523216,29123.200719433975,-0.1396645431546517,0,District of Columbia
FL,28962.786884058358,28716.0173177891,28451.37309234661,28288.275767502222,-1.4895573628934216,0,Florida
GA,29660.652554436478,29188.57521678782,28716.7302285205,28599.584837288872,-2.0178798558149253,0,Georgia
HI,29035.75501417134,28705.419008575725,28259.006565045413,28081.24574713518,-2.174409163837936,0,Hawaii
ID,28999.603327115867,28563.520003885704,27983.951652938274,27837.583209925826,-2.5414822608037184,0,Idaho
IL,29308.027854924687,28950.132580264562,28558.617406404755,28361.809621640678,-2.0321943500353683,0,Illinois
IN,29068.55353685153,28706.12564861925,28273.66216690174,28109.65902837708,-2.0778374188955127,0,Indiana
IA,28525.30538173011,28349.514901284878,27944.94379911051,27780.704789318625,-2.0064192066315485,0,Iowa
KS,28714.875631668576,28477.838126688097,28043.02642776618,27886.91834358144,-2.0750163003169604,0,Kansas
KY,29159.55530904586,28814.792987789002,28366.122751915882,28192.296497588235,-2.1603364996047816,0,Kentucky
LA,29169.259747759574,29058.466743518366,28835.978251076696,28678.342917703565,-1.3081344902672498,0,Louisiana
ME,29199.332818731455,28653.362086248108,27986.038106402204,27687.513009353737,-3.3708054014293936,0,Maine
MD,29686.322547277923,29263.60771813571,28942.584332211347,28786.856009228144,-1.6291624515322667,0,Maryland
MA,29358.804057684993,29060.191397153663,28774.904091929406,28606.95871097511,-1.5596342088199293,0,Massachusetts
MI,29184.04631913572,28689.633747219334,28215.827069091818,28005.51674182161,-2.384544227456473,0,Michigan
MN,29101.39452923392,28746.39218952899,28269.898869174467,28022.238571323007,-2.5191113146705106,0,Minnesota
MS,29237.723616471223,28988.51368514407,28606.575488519968,28408.89229168756,-1.9994864164199981,0,Mississippi
MO,28929.524741499346,28585.658111399756,28163.995183004638,27966.546684565426,-2.165811346450795,0,Missouri
MT,28805.528672152865,28463.86208457388,27960.646554619543,27806.441846206788,-2.3096663285316623,0,Montana
NE,28587.074508561007,28432.974575401076,28038.00610150834,27882.648287992182,-1.9355213291155593,0,Nebraska
NV,29543.74427491115,29204.562819715826,29028.397993901934,29000.804746034017,-0.6976926000900647,0,Nevada
NJ,29692.375994769438,29331.727211699665,28983.07093091874,28810.5746043856,-1.7767539004869377,0,New Jersey
NM,29043.18807030126,28586.4664946815,28037.843271333044,27852.56904138193,-2.567289851776934,0,New Mexico
NC,29284.19578906121,28794.66004857135,28246.561187452113,28097.97694705545,-2.419487156093254,0,North Carolina
ND,27926.55419899624,28213.82583474086,27889.07744973229,27651.280893047242,-1.993862672112101,0,North Dakota
OK,28823.838482366704,28662.183973311632,28370.39249543773,28265.92159514661,-1.3825268114041762,0,Oklahoma
OR,29046.375858449013,28653.167686583358,28200.468759869633,28105.559163748134,-1.9111622450443235,0,Oregon
PA,29042.429344662374,28722.003468919727,28300.21242819011,28099.947113937764,-2.165783301485547,0,Pennsylvania
RI,29180.656943159924,28844.274428332847,28474.600927257194,28245.463870502077,-2.0760118591944092,0,Rhode Island
SC,29209.941492433383,28771.69952109325,28270.837369874338,28107.222078779174,-2.309482767352449,0,South Carolina
SD,28474.37393197588,28373.29551662002,27922.088359592457,27700.04747969593,-2.3728228415684924,0,South Dakota
US,29253.643166211095,28907.933833734027,28534.833348723372,28377.9852948566,-1.833228697441541,0,United States
UT,29026.831545801208,28894.189274609045,28515.476854109667,28358.863812557593,-1.852709750613684,0,Utah
VT,29040.678195081404,28580.852157936708,28099.938407307403,27875.745877493082,-2.467058282752504,0,Vermont
VA,29479.663689038225,29093.207535498677,28720.974281479812,28570.052944818366,-1.7982018312761596,0,Virginia
WA,29288.91927361845,28898.683251251383,28481.013901710892,28345.26337578699,-1.9150349192481855,0,Washington
WV,28934.896519379352,28564.42605716477,28010.40673048143,27864.24730041056,-2.4512264148174125,0,West Virginia
WI,28983.92219843796,28631.46584920363,28129.549685615788,27868.042542091738,-2.666378700736786,0,Wisconsin
WY,28863.447137565858,28724.07619990367,28302.31390991714,28193.610428891487,-1.8467635558422728,0,Wyoming
CA,29596.52431919746,29209.343275884195,28883.41095896028,28715.711650151312,-1.6899785149926174,1,California
NH,29559.128664188655,28952.73430819845,28389.495738286827,28094.97929405032,-2.962604516096576,1,New Hampshire
NY,29366.412292322817,29038.422809163596,28758.22597944099,28574.34114190719,-1.598164164446132,1,New York
OH,29054.8977821059,28664.970090112845,28207.0108131309,28014.514287291513,-2.2691661661481675,1,Ohio
TN,29203.402959300798,28814.68412592968,28396.53495775203,28274.386908308552,-1.8750759691130128,1,Tennessee
TX,29450.157861619573,29180.164253124123,28845.414363529126,28734.714247338572,-1.526550714113469,1,Texas
