variable,stname,2010,2020,2030,2040,c2030,c2040
pop2064_s,California,60.54497943788842,58.664463203084324,55.7605839315966,55.56384790970073,-2.9038792714877246,-3.1006152933835907
pop2064_s,New Hampshire,61.710483338017575,58.719979379097744,53.624324132625425,53.27686504276835,-5.095655246472319,-5.443114336329394
pop2064_s,New York,61.216769320339004,59.30970971228648,56.417331670109924,56.53542758785161,-2.892378042176553,-2.774282124434869
pop2064_s,Ohio,59.35388225063676,56.629463931548294,53.47863575732785,53.470175595474515,-3.150828174220443,-3.1592883360737787
pop2064_s,Tennessee,60.13959743811361,57.23246036394792,54.97363211714452,54.810150126451454,-2.2588282468034038,-2.4223102374964682
pop2064_s,Texas,59.34232686238339,57.415476664475015,55.66725837445049,55.43145121781205,-1.748218290024525,-1.9840254466629688
pop2064_s,United States,59.98791082124077,57.646359322906584,54.99699105543962,54.99430242225565,-2.6493682674669614,-2.6520569006509334
pop65p_s,California,11.39882701316338,14.901231947931674,17.74645210009835,17.96545778960047,2.845220152166675,3.0642258416687973
pop65p_s,New Hampshire,13.541364406329045,19.120698132374066,24.627539272464794,24.91396485586125,5.506841140090728,5.793266723487182
pop65p_s,New York,13.509800908262326,16.654334410104234,19.423881041217168,19.43835957754031,2.7695466311129344,2.784025167436077
pop65p_s,Ohio,14.059848633520172,18.447984393228296,22.1606034524509,22.112890974362916,3.712619059222604,3.6649065811346198
pop65p_s,Tennessee,13.448595634645189,17.705315132790258,20.639872645528843,20.629958160740347,2.9345575127385857,2.92464302795009
pop65p_s,Texas,10.347297481253252,13.326100151427239,15.749575385302661,15.852713782058487,2.423475233875422,2.526613630631248
pop65p_s,United States,13.042450511462938,16.736215084171803,19.772670372168218,19.68457797884063,3.0364552879964144,2.9483628946688256
pop75p_s,California,5.291191088538356,6.095554294304266,8.262733363411149,9.652403215257442,2.167179069106883,3.5568489209531755
pop75p_s,New Hampshire,6.191253883491458,7.5754090795388915,11.098919450242665,14.07602631657011,3.5235103707037734,6.500617237031218
pop75p_s,New York,6.4884631116091755,7.188815379665135,9.1452217576301,10.606662312149382,1.9564063779649654,3.417846932484247
pop75p_s,Ohio,6.689903631117365,7.550798780117749,10.384077635496618,12.167286097419334,2.833278855378869,4.616487317301584
pop75p_s,Tennessee,5.773431104590926,6.897171503112172,9.33276808843845,10.575375150067268,2.4355965853262775,3.6782036469550965
pop75p_s,Texas,4.492363483161103,5.006592796142739,6.726846618775027,7.784328116654331,1.720253822632288,2.777735320511592
pop75p_s,United States,6.0096593201615764,6.76699209076871,9.02467338030684,10.442184820149675,2.25768128953813,3.6751927293809654
pop85p_s,California,1.613165592400442,1.7905724551123356,2.0648501327439237,2.8598286811156872,0.27427767763158806,1.0692562260033516
pop85p_s,New Hampshire,1.8808632175438864,2.252876526489873,2.759317945882987,4.130639577420184,0.5064414193931137,1.877763050930311
pop85p_s,New York,2.0170912507323986,2.2579092100470337,2.5041413769761283,3.2548928914716084,0.24623216692909455,0.9969836814245747
pop85p_s,Ohio,1.9973901972382622,2.231017366388936,2.520651846571175,3.541839208584273,0.2896344801822388,1.3108218421953368
pop85p_s,Tennessee,1.5744618155545804,1.6711126602153876,1.9983872293243654,2.7628673971850226,0.3272745691089778,1.091754736969635
pop85p_s,Texas,1.2136495980344204,1.2343518027535305,1.3770294112148491,1.8903987365488824,0.1426776084613186,0.6560469337953518
pop85p_s,United States,1.7792752684250939,1.8850869056247543,2.1224893478582687,2.8888694727779236,0.23740244223351437,1.0037825671531693
