variable,stname,2010,2020,2030,2040,pch2030,pch2040
pop2064,California,22555400,24016154.125328843,25059636.02525021,26829828.555260357,4.344916735943372,11.715757715612128
pop2064,New Hampshire,812400,788920.7210633358,734528.959839972,728189.5287259305,-6.894452100339393,-7.6980095358060225
pop2064,New York,11862648,11969560.97675843,11845932.991521453,12087619.22688116,-1.032853130344776,0.9863206374232618
pop2064,Ohio,6847363,6616279.748388119,6321382.043721244,6258390.980716689,-4.45715289984102,-5.409214562891179
pop2064,Tennessee,3816522,3914154.5316751515,4047635.559235213,4252246.522794868,3.410213533468621,8.637676115843647
pop2064,Texas,14921961,17084465.433014013,19581522.86946564,22559846.73951134,14.615952990992142,32.048888670035325
pop2064,United States,185209998,192276346.27809414,198444988.5765566,210673579.40778902,3.208216932487673,9.5681208249539509
pop65p,California,4246514,6100290.765125179,7975519.605633158,8674887.909042645,30.739991136627395,42.204498818912214
pop65p,New Hampshire,178268,256892.3749179067,337340.21076856344,340524.69702412706,31.315774116053433,32.55539294731739
pop65p,New York,2617943,3361086.6115531307,4078427.4342320063,4156039.8318981673,21.342527152175904,23.651673170590954
pop65p,Ohio,1622015,2155362.5456711845,2619469.228385375,2588192.686676667,21.53265044186182,20.08154692465895
pop65p,Tennessee,853462,1210874.7207625234,1519686.4249410655,1600500.4119132343,25.503191939135903,32.177209125759276
pop65p,Texas,2601886,3965294.91036706,5540072.918935475,6451838.901407982,39.71401986902006,62.70766859080217
pop65p,United States,40267984,55822749.68803054,71345491.28656101,75408184.47141242,27.80719632279032,35.08504130096867
pop75p,California,1971178,2495408.010545381,3713395.306526628,4660806.138416986,48.809144269559795,86.77531364493575
pop75p,New Hampshire,81506,101777.91710034135,152029.4733966512,192391.48102217945,49.373732267253615,89.03067237316668
pop75p,New York,1257341,1450807.3712546823,1920219.920483863,2267769.092188177,32.3552635952783,56.31083334150506
pop75p,Ohio,771781,882194.4193827173,1227438.2279215339,1424114.1481931757,39.13466249088131,61.42860540759784
pop75p,Tennessee,366388,471700.76077409065,687159.3257720749,820452.0897201967,45.676959402058856,73.9348667519177
pop75p,Texas,1129630,1489754.444829004,2366236.5410362477,3168115.6712231273,58.83399772691047,112.66025969714545
pop75p,United States,18554555,22570939.94813209,32563621.59989499,40002188.51777521,44.272332808141925,77.2287224621573
pop85p,California,600968,733027.487282717,927974.370511057,1380910.7197983381,26.594757578736193,88.38457544304103
pop85p,New Hampshire,24761,30268.07898331322,37796.26080963656,56457.68542881941,24.871686870097136,86.52549922294213
pop85p,New York,390874,455678.87788942835,525793.9373384349,695915.9517322779,15.386945248320274,52.72069553795373
pop85p,Ohio,230429,260659.98147861572,297950.8189717513,414552.86636516306,14.30631479431564,59.039705294835414
pop85p,Tennessee,99917,114288.17056486534,147138.59897956814,214347.0371002237,28.74350709468939,87.5496265631175
pop85p,Texas,305179,367291.92077524395,484384.0651582394,769366.5750429545,31.879858434089357,109.47005134745424
pop85p,United States,5493433,6287606.48352304,7658553.064566932,11066755.017620148,21.803950114189234,76.00902738778396
poptot,California,37253956,40938163.94806145,44941487.80075854,48286484.04419848,9.7789531005253,17.94980377102378
poptot,New Hampshire,1316470,1343530.3101352314,1369768.2380542662,1366802.510135256,1.9529092660659018,1.7321678435138637
poptot,New York,19378102,20181452.640424643,20996974.93810659,21380609.89827653,4.040949441114108,5.941877818298892
poptot,Ohio,11536504,11683458.201874638,11820387.626202792,11704451.89494828,1.1719939589990958,0.1796873212613832
poptot,Tennessee,6346105,6839046.420133931,7362867.2571788905,7758136.974601586,7.659267167756738,13.438869953592985
poptot,Texas,25145561,29755854.04063148,35176014.48547885,40698639.93072236,18.21544237125967,36.77523715215352
poptot,United States,308745538,333544647.98211545,360828810.3916712,383082556.062265,8.180063021433554,14.85195711573995
