stabbr,stname,level,levf,osr,nontax,tottax,iit,gst,selsalestax,proptax,othertax,osr_s,nontax_s,tottax_s,iit_s,gst_s,selsalestax_s,proptax_s,othertax_s
US,United States,1,State-local,2318053057,718539157,1599513900,376297498,376980434,181891014,503262149,161082805,100,30.997528500487643,69.00247149951237,16.233342755622697,16.26280437635384,7.846714873532767,21.710553495756333,6.949055998246721
US,United States,2,State,1272154019,349298180,922855839,343620739,291472708,149651791,15945411,122165190,100,27.457224108333378,72.54277589166662,27.010938445182088,22.911746820492496,11.763653517176838,1.2534182781212437,9.603018830693959
US,United States,3,Local,1045899038,369240977,676658061,32676759,85507726,32239223,487316738,38917615,100,35.3036921906032,64.6963078093968,3.1242746969617157,8.17552391706091,3.082441213604023,46.59309553739163,3.7209724443785177
CA,California,1,State-local,342023090,103217974,238805116,80753345,52355605,19830705,61266035,24599426,100,30.178656651514373,69.82134334848563,23.610495127682753,15.307622944404134,5.798060300548714,17.912835943327686,7.192329032522336
CA,California,2,State,188571643,33340391,155231252,80753345,39189007,14176746,2513157,18598997,100,17.680490273927347,82.31950972607265,42.82369486487425,20.782025534984598,7.5179628148013755,1.3327332572480157,9.863093254164413
CA,California,3,Local,153451447,69877583,83573864,0,13166598,5653959,58752878,6000429,100,45.53725909147015,54.46274090852985,0,8.580302276328485,3.6845263505400507,38.2876011589516,3.9103111227097127
NH,New Hampshire,1,State-local,8850493,2418956,6431537,87973,0,986109,4159186,1198269,100,27.33131363416705,72.66868636583295,0.9939898263294487,0,11.141853905765476,46.99383412878808,13.539008504949951
NH,New Hampshire,2,State,4387611,1745665,2641946,87973,0,982832,406394,1164747,100,39.78622990962508,60.21377009037492,2.0050318954893678,0,22.400162639759998,9.262306982091165,26.546268573034393
NH,New Hampshire,3,Local,4462882,673291,3789591,0,0,3277,3752792,33522,100,15.086462066440475,84.91353793355952,0,0,0.07342788807770405,84.0889810664947,0.7511289789871208
NY,New York,1,State-local,232093048,54425759,177667289,58102548,29754771,13671761,55176119,20962090,100,23.44997382256792,76.55002617743207,25.034161298963163,12.820190547025778,5.890637878994117,23.77327519090533,9.03176126154369
NY,New York,2,State,107576041,26222078,81353963,46508632,13534170,11255847,0,10055314,100,24.3753885681664,75.6246114318336,43.23326232092888,12.581026290045383,10.463154151582879,0,9.34716866927646
NY,New York,3,Local,124517007,28203681,96313326,11593916,16220601,2415914,55176119,10906776,100,22.65046492805597,77.34953507194403,9.311110409198962,13.026815686310226,1.9402281328525668,44.312114729837674,8.759266113744607
OH,Ohio,1,State-local,77756243,25762832,51993411,13322598,14636239,6209465,14689729,3135380,100,33.13281481462524,66.86718518537477,17.133798504127828,18.8232332675847,7.985808933695523,18.892025171535103,4.032319308431608
OH,Ohio,2,State,43208882,14513999,28694883,8169197,12226504,6004663,0,2294519,100,33.59031367671119,66.40968632328881,18.906291072284628,28.296274826087842,13.89682565728037,0,5.310294767635969
OH,Ohio,3,Local,34547361,11248833,23298528,5153401,2409735,204802,14689729,840861,100,32.56061439830382,67.43938560169617,14.916916519325458,6.975163746950165,0.5928151791391534,42.52055316178854,2.4339369944928646
TN,Tennessee,1,State-local,33528164,11438406,22089758,323952,9170847,3294436,5559994,3740529,100,34.115813797618024,65.88418620238198,0.9662085880992469,27.352666850472335,9.825876537707225,16.583055368018364,11.156378858084803
TN,Tennessee,2,State,17745636,4359467,13386169,323952,7006376,2697871,0,3357970,100,24.566417343396427,75.43358265660358,1.8255305135301998,39.48224791717806,15.203011038883025,0,18.92279318701229
TN,Tennessee,3,Local,15782528,7078939,8703589,0,2164471,596565,5559994,382559,100,44.85301087379664,55.14698912620336,0,13.714349184110427,3.779907756222577,35.228792244182934,2.4239399416874154
TX,Texas,1,State-local,166072120,53895531,112176589,0,39750736,16441051,49167498,6817304,100,32.45308785122993,67.54691214877006,0,23.935827398361628,9.899946481083038,29.606112091541913,4.1050261777834836
TX,Texas,2,State,79044196,26911379,52132817,0,32131385,14239389,0,5762043,100,34.045989916830834,65.95401008316917,0,40.64989793811048,18.01446497096384,0,7.289647174094857
TX,Texas,3,Local,87027924,26984152,60043772,0,7619351,2201662,49167498,1055261,100,31.0063147088284,68.9936852911716,0,8.755064638793405,2.52983398753715,56.49623217485919,1.2125544899818592
