stabbr,agebrk,popgroup,year,cpspop,cpspop_state,cpspit_pc,cpspit_level,wcpop,wcpop_state,wcpit_pc_share,wcpit_level
AL,"(-1,4]",pop00_04,2010,285653.2,4826664.225,0,0,304957,4779736,0,0
AK,"(-1,4]",pop00_04,2010,55831.865,714741.33,0,0,53996,710231,0,0
AZ,"(-1,4]",pop00_04,2010,469831.815,6946384.69,0,0,455715,6392017,0,0
AR,"(-1,4]",pop00_04,2010,170711.045,2939165.475,0,0,197689,2915918,0,0
CA,"(-1,4]",pop00_04,2010,2371656.465,39251639.415,0,0,2531333,37253956,0,0
CO,"(-1,4]",pop00_04,2010,327379.63,5523826.185,0,0,343960,5029196,0,0
CT,"(-1,4]",pop00_04,2010,189042.81,3564204.13,0,0,202106,3574097,0,0
DE,"(-1,4]",pop00_04,2010,51322.175,959135.245,0,0,55886,897934,0,0
DC,"(-1,4]",pop00_04,2010,45236.05,688986.71,0,0,32613,601723,0,0
FL,"(-1,4]",pop00_04,2010,1062386.665,20741275.045,0,0,1073506,18801310,0,0
GA,"(-1,4]",pop00_04,2010,699781.03,10273789.4,0,0,686785,9687653,0,0
HI,"(-1,4]",pop00_04,2010,86211.405,1399406.85,0,0,87407,1360301,0,0
ID,"(-1,4]",pop00_04,2010,119443.715,1706016.625,0,0,121772,1567582,0,0
IL,"(-1,4]",pop00_04,2010,773315.675,12615713.62,0,0,835577,12830632,0,0
IN,"(-1,4]",pop00_04,2010,431166.585,6526698.385,0,0,434075,6483802,0,0
IA,"(-1,4]",pop00_04,2010,198879.73,3080441.835,0,0,202123,3046355,0,0
KS,"(-1,4]",pop00_04,2010,203266.825,2870419.86,0,0,205492,2853118,0,0
KY,"(-1,4]",pop00_04,2010,266319,4398353.07,0,0,282367,4339367,0,0
LA,"(-1,4]",pop00_04,2010,315956.625,4562088.08,0,0,314260,4533372,0,0
ME,"(-1,4]",pop00_04,2010,55413.025,1320428.625,0,0,69520,1328361,0,0
MD,"(-1,4]",pop00_04,2010,389830.495,5956997.7,0,0,364488,5773552,0,0
MA,"(-1,4]",pop00_04,2010,369433.115,6796065.885,0,0,367087,6547629,0,0
MI,"(-1,4]",pop00_04,2010,575467.035,9901979.94,0,0,596286,9883640,0,0
MN,"(-1,4]",pop00_04,2010,372697.685,5529119.945,0,0,355504,5303925,0,0
MS,"(-1,4]",pop00_04,2010,184447.2,2949483.545,0,0,210956,2967297,0,0
MO,"(-1,4]",pop00_04,2010,371745.115,5940267.25,0,0,390237,5988927,0,0
MT,"(-1,4]",pop00_04,2010,64335.37,1037927.985,0,0,62423,989415,0,0
NE,"(-1,4]",pop00_04,2010,130945.755,1876891.03,0,0,131908,1826341,0,0
NV,"(-1,4]",pop00_04,2010,194893.92,2965758.475,0,0,187478,2700551,0,0
NH,"(-1,4]",pop00_04,2010,66190.39,1326922.185,0,0,69806,1316470,0,0
NJ,"(-1,4]",pop00_04,2010,499267.12,8937419.165,0,0,541020,8791894,0,0
NM,"(-1,4]",pop00_04,2010,137315.965,2044839.84,0,0,144981,2059179,0,0
NY,"(-1,4]",pop00_04,2010,1100323.405,19619362.82,0,0,1155822,19378102,0,0
NC,"(-1,4]",pop00_04,2010,667330.855,10188697.97,0,0,632040,9535483,0,0
ND,"(-1,4]",pop00_04,2010,57188.590000000004,746065.9450000001,0,0,44595,672591,0,0
OH,"(-1,4]",pop00_04,2010,712424.985,11500300.835,0,0,720856,11536504,0,0
OK,"(-1,4]",pop00_04,2010,293043.02,3874311.235,0,0,264126,3751351,0,0
OR,"(-1,4]",pop00_04,2010,223029.125,4171007.58,0,0,237556,3831074,0,0
PA,"(-1,4]",pop00_04,2010,706305.055,12578427.3,0,0,729538,12702379,0,0
RI,"(-1,4]",pop00_04,2010,52032.645,1050492.72,0,0,57448,1052567,0,0
SC,"(-1,4]",pop00_04,2010,309035.475,4939724.51,0,0,302297,4625364,0,0
SD,"(-1,4]",pop00_04,2010,62025.725,863327.735,0,0,59621,814180,0,0
TN,"(-1,4]",pop00_04,2010,433629.65,6690624.365,0,0,407813,6346105,0,0
TX,"(-1,4]",pop00_04,2010,2033691.12,27889064.725,0,0,1928473,25145561,0,0
UT,"(-1,4]",pop00_04,2010,249607.1,3105260.32,0,0,263924,2763885,0,0
VT,"(-1,4]",pop00_04,2010,31513.93,618017.615,0,0,31952,625741,0,0
