stabbr,year,cpspit_pc,cpspit_level,wcpit_pc,wcpit_level,wcpop_state,wcpit_level_pc2020
AK,2010,0,0,0,0,710231,0
AK,2020,0,0,0,0,764910.8696512649,0
AK,2030,0,0,0,0,822972.1938363179,0
AK,2040,0,0,0,0,866599.7193433032,0
AL,2010,889.5058452613969,4293346041.2515697,886.1572828404879,4235597866.4548626,4779736,4216336261.3195753
AL,2020,889.5058452613969,4293346041.2515697,882.127435766238,4350481819.308816,4931806.497470377,4350481819.308815
AL,2030,889.5058452613969,4293346041.2515697,862.16648557871315,4382908509.27251,5083598.797430132,4484381971.641374
AL,2040,889.5058452613969,4293346041.2515697,855.693776897798,4388478092.817795,5128561.4215024775,4524044735.919633
AR,2010,1153.6582069386343,3390792371.78444,1166.1674720598442,3400448722.7937965,2915918,3379364831.284719
AR,2020,1153.6582069386343,3390792371.78444,1158.9368532601804,3518188853.078846,3035703.6651150617,3518188853.078846
AR,2030,1153.6582069386343,3390792371.78444,1142.6519667571,3607617922.687127,3157232.4974206425,3659033095.5714602
AR,2040,1153.6582069386343,3390792371.78444,1135.0704196098939,3647838584.243889,3213755.3064748133,3724539462.0341268
AZ,2010,582.3007768393755,4044885201.212145,575.0243246362745,3675565258.4885855,6392017,3648808998.575655
AZ,2020,582.3007768393755,4044885201.212145,570.8384377850771,4137529311.065569,7248161.7165089445,4137529311.0655684
AZ,2030,582.3007768393755,4044885201.212145,564.0964288696891,4631634702.217789,8210714.45443902,4686991412.271321
AZ,2040,582.3007768393755,4044885201.212145,562.8641497612044,5123853033.377448,9103178.867496263,5196444403.599694
CA,2010,1392.2611752029125,54648533620.568855,1360.3394435511896,50678025775.1205,37253956,50201822682.70873
CA,2020,1392.2611752029125,54648533620.568855,1347.5568254471748,55166502249.48568,40938163.94806146,55166502249.48568
CA,2030,1392.2611752029125,54648533620.568855,1316.1701802955763,59150646101.47581,44941487.80075854,60561208631.66311
CA,2040,1392.2611752029125,54648533620.568855,1298.2340093847235,62687155779.791275,48286484.04419848,65068781150.60577
CO,2010,1244.4486540403598,6874118061.076144,1243.2884035170775,6252741065.814472,5029196,6084015279.85224
CO,2020,1244.4486540403598,6874118061.076144,1209.7391471424537,7106566049.278105,5874461.503593274,7106566049.278104
CO,2030,1244.4486540403598,6874118061.076144,1189.0729081604197,8150967627.486527,6854893.061264555,8292632485.686907
CO,2040,1244.4486540403598,6874118061.076144,1188.9354941998488,9307877340.570986,7828748.8143628575,9470743913.879818
CT,2010,1687.0650715792672,6013044295.70157,1660.255558694403,5933914411.562989,3574097,5943295629.21346
CT,2020,1687.0650715792672,6013044295.70157,1662.8803385060505,5996585944.745803,3606143.993579959,5996585944.745803
CT,2030,1687.0650715792672,6013044295.70157,1605.9514428200448,5837344497.593483,3634820.04620459,6044270788.841267
CT,2040,1687.0650715792672,6013044295.70157,1573.4863569846543,5642152230.421492,3585764.9514253256,5962698036.229278
DC,2010,2974.6645090137877,2049504313.419175,2939.70890873812,1768890463.692628,601723,1833020360.298864
DC,2020,2974.6645090137877,2049504313.419175,3046.286015822669,2263728845.6026874,743111.065029576,2263728845.6026874
DC,2030,2974.6645090137877,2049504313.419175,3029.388778472926,2777339543.251527,916798.6502714736,2792830907.6470876
DC,2040,2974.6645090137877,2049504313.419175,3007.782055798138,3329657934.6909533,1107014.3623845123,3372282371.4467883
DE,2010,1209.2699507281634,1159853430.462795,1191.2605343890798,1069673336.6861238,897934,1056649885.8295892
DE,2020,1209.2699507281634,1159853430.462795,1176.756739169682,1166836496.5099986,991569.8441916864,1166836496.5099986
DE,2030,1209.2699507281634,1159853430.462795,1125.0753172052591,1230685043.6735568,1093869.028013731,1287217750.4841475
DE,2040,1209.2699507281634,1159853430.462795,1101.8664065607063,1301353656.8681622,1181044.8609011706,1389802499.3271723
FL,2010,0,0,0,0,18801310,0
FL,2020,0,0,0,0,21700027.450379655,0
FL,2030,0,0,0,0,25020476.565880053,0
FL,2040,0,0,0,0,28235138.649752945,0
GA,2010,1174.3288018489,12064806796.54993,1170.5158399512459,11339551288.451206,9687653,10899080022.618334
GA,2020,1174.3288018489,12064806796.54993,1125.0485564066275,12056624498.2174,10716537.014834194,12056624498.2174
GA,2030,1174.3288018489,12064806796.54993,1090.955783053506,12919944027.691439,11842775.14119725,13323697076.45226
GA,2040,1174.3288018489,12064806796.54993,1085.807165394564,13907986318.066593,12808891.635019435,14410625043.147543
HI,2010,1631.190688093734,2282699422.574585,1653.9095634874157,2249814833.121495,1360301,2191636904.226231
HI,2020,1631.190688093734,2282699422.574585,1611.141140252217,2415631402.2789154,1499329.4764360366,2415631402.2789154
HI,2030,1631.190688093734,2282699422.574585,1560.1920144148628,2575729861.750816,1650905.6820912024,2659842063.0932837
HI,2040,1631.190688093734,2282699422.574585,1550.3131754865021,2758201157.159549,1779125.1475973565,2866421718.951399
IA,2010,1287.5166305402029,3966120091.97428,1314.0868784767463,4003175132.682029,3046355,3910773506.334347
IA,2020,1287.5166305402029,3966120091.97428,1283.755014216776,4102569486.5394998,3195757.322157369,4102569486.5394993
IA,2030,1287.5166305402029,3966120091.97428,1252.4247518306722,4194515823.831495,3349116.0388680925,4299444508.090741
IA,2040,1287.5166305402029,3966120091.97428,1254.5272249749721,4309488647.967454,3435149.562460415,4409890475.393123
ID,2010,1096.0375365650116,1869858259.003955,1096.1594565347,1718319833.1935782,1567582,1648649601.8952053
ID,2020,1096.0375365650116,1869858259.003955,1051.7150630048095,1828034077.2699823,1738145.7597908557,1828034077.2699823
ID,2030,1096.0375365650116,1869858259.003955,1023.1111502525887,1969826871.6113174,1925330.2743548448,2024898850.7981727
ID,2040,1096.0375365650116,1869858259.003955,1018.4151725328567,2125730482.4923406,2087292.628609929,2195237098.407966
IL,2010,1251.5474469576634,15789164172.660019,1242.6403272484729,15943860747.284729,12830632,15847041468.844685
IL,2020,1251.5474469576634,15789164172.660019,1235.0943795165106,15916191219.291986,12886619.422171228,15916191219.291986
IL,2030,1251.5474469576634,15789164172.660019,1206.6104271929444,15601277144.79392,12929837.827681214,15969570029.029036
IL,2040,1251.5474469576634,15789164172.660019,1199.727735924381,15233121463.447832,12697148.700751532,15682176996.183582
IN,2010,1223.6745944700056,7986554999.492914,1230.3156674307586,7977123185.118888,6483802,7901167952.518913
IN,2020,1223.6745944700056,7986554999.492914,1218.601054214628,8219548523.558789,6745069.270316837,8219548523.558789
IN,2030,1223.6745944700056,7986554999.492914,1195.1855082780355,8378022533.186805,7009809.335169608,8542161045.681225
IN,2040,1223.6745944700056,7986554999.492914,1186.8603134665066,8462226739.891934,7129926.448695549,8688535886.853155
KS,2010,842.3244382687242,2417824796.16989,850.1471627795053,2425570172.7751365,2853118,2395726744.388079
KS,2020,842.3244382687242,2417824796.16989,839.6872279338181,2490196668.8284316,2965624.087144865,2490196668.8284316
KS,2030,842.3244382687242,2417824796.16989,819.206537822531,2522719696.260951,3079467.2402961967,2585789310.5173182
KS,2040,842.3244382687242,2417824796.16989,814.7966918243388,2550018824.1056542,3129638.165805673,2627917195.8812447
KY,2010,1110.9672596587873,4886426257.189714,1162.4357948238924,5044235527.677569,4339367,4872637905.206095
KY,2020,1110.9672596587873,4886426257.189714,1122.891404485054,5057627602.1610365,4504111.067160952,5057627602.1610365
KY,2030,1110.9672596587873,4886426257.189714,1085.8096065384502,5071175043.645904,4670409.078266269,5244362209.414157
KY,2040,1110.9672596587873,4886426257.189714,1083.4020349248942,5135106467.343371,4739797.694490539,5322278090.141502
LA,2010,711.1471662701928,3244316010.367025,725.191244160344,3287561680.921667,4533372,3245974468.1214495
LA,2020,711.1471662701928,3244316010.367025,716.0176725231129,3435866148.911664,4798577.29880369,3435866148.911664
LA,2030,711.1471662701928,3244316010.367025,712.6686115608443,3616216178.9617453,5074190.3323646095,3633209951.7189884
LA,2040,711.1471662701928,3244316010.367025,711.1087739936582,3734359309.1173224,5251460.037744698,3760138193.574097
MA,2010,1624.5533786920637,11040571795.290619,1590.0006540312045,10410734392.353682,6547629,10308035827.315414
MA,2020,1624.5533786920637,11040571795.290619,1574.3158061208744,11060697066.384855,7025716.837359648,11060697066.384855
MA,2030,1624.5533786920637,11040571795.290619,1535.4630545931066,11563777135.119307,7531133.426185676,11856382390.849365
MA,2040,1624.5533786920637,11040571795.290619,1530.087449777303,12089416713.036037,7901127.948468301,12438870615.457045
MD,2010,2314.290587468956,13786223706.68422,2312.7076691470575,13352537988.619333,5773552,13168313371.247698
MD,2020,2314.290587468956,13786223706.68422,2280.799301928466,14198330456.129467,6225155.560212802,14198330456.129467
MD,2030,2314.290587468956,13786223706.68422,2225.891014987498,14925344114.926655,6705334.634279246,15293522553.060871
MD,2040,2314.290587468956,13786223706.68422,2205.6115187455657,15591172576.352041,7068866.137051855,16122664950.813643
ME,2010,1085.775066852292,1433688478.5830548,1085.9654418489115,1442554140.299862,1328361,1430429616.433895
ME,2020,1085.775066852292,1433688478.5830548,1076.838010475989,1432413702.6571026,1330203.5113191633,1432413702.6571026
ME,2030,1085.775066852292,1433688478.5830548,1026.5588802037596,1366051425.306677,1330709.2770319537,1432958330.4010308
ME,2040,1085.775066852292,1433688478.5830548,995.8330781155981,1297459708.7968304,1302888.7444188904,1403000123.4115973
MI,2010,1005.0449535125416,9951934968.47942,1011.4454863042596,9996763066.256233,9883640,9634153080.216076
MI,2020,1005.0449535125416,9951934968.47942,974.7575873075178,9706573633.23537,9957935.962362638,9706573633.23537
MI,2030,1005.0449535125416,9951934968.47942,938.0348558515028,9401644759.781807,10022702.995665813,9769705790.35504
MI,2040,1005.0449535125416,9951934968.47942,934.5636676113929,9227166115.739084,9873234.361145627,9624010104.791994
MN,2010,1315.750913456238,7274944618.242855,1311.333696321665,6955215575.262887,5303925,6911331954.689835
MN,2020,1315.750913456238,7274944618.242855,1303.059895207763,7379455659.460756,5663174.5682604695,7379455659.460756
MN,2030,1315.750913456238,7274944618.242855,1275.284096597021,7703579855.395295,6040677.427054563,7871364495.081618
MN,2040,1315.750913456238,7274944618.242855,1261.9209525450453,7957974537.227354,6306238.533544983,8217406522.676283
MO,2010,1030.0736917049405,6118913015.921455,1041.0351126309408,6234683293.983482,5988927,6147706993.885456
MO,2020,1030.0736917049405,6118913015.921455,1026.5122606913485,6334283360.754682,6170684.562976956,6334283360.754682
MO,2030,1030.0736917049405,6118913015.921455,995.6660000019815,6324038013.018098,6351565.698743868,6519960064.347192
MO,2040,1030.0736917049405,6118913015.921455,994.0961876557081,6360858054.2950325,6398634.390999224,6568276654.042024
MS,2010,649.025677702684,1914290556.66654,648.3899740138833,1923965624.7214737,2967297,1887924565.0499954
MS,2020,649.025677702684,1914290556.66654,636.2438829176841,1918381297.727852,3015166.588212288,1918381297.727852
MS,2030,649.025677702684,1914290556.66654,618.3377554214097,1892563642.5639195,3060727.9370707343,1947369427.2365172
MS,2040,649.025677702684,1914290556.66654,616.1247918435835,1873552558.1633646,3040865.394423223,1934732005.9778464
MT,2010,1102.8869073463657,1144717185.424895,1114.6046132399983,1102806523.408853,989415,1102628675.2610288
MT,2020,1102.8869073463657,1144717185.424895,1114.4248624298486,1196875761.3544147,1073985.1574603184,1196875761.3544147
MT,2030,1102.8869073463657,1144717185.424895,1084.4349215055472,1262945716.871895,1164611.8101015384,1297872356.256584
MT,2040,1102.8869073463657,1144717185.424895,1091.6167904787283,1349252900.7390368,1236013.3267529919,1377443981.6281626
NC,2010,1148.8867192308944,11705659783.987774,1152.7103166972563,10991649628.791304,9535483,10754338253.460194
NC,2020,1148.8867192308944,11705659783.987774,1127.823126889345,11870365213.210642,10525023.764985526,11870365213.210644
NC,2030,1148.8867192308944,11705659783.987774,1097.2608438111959,12734341045.12456,11605573.202533545,13089033858.624573
NC,2040,1148.8867192308944,11705659783.987774,1088.690834805507,13635583436.919699,12524752.66713867,14125705716.567999
ND,2010,296.24335506515445,221017078.646655,292.5172847309398,196744493.05446753,672591,202684005.2689976
ND,2020,296.24335506515445,221017078.646655,301.34807820651423,253827909.9599424,842308.0428141765,253827909.9599424
ND,2030,296.24335506515445,221017078.646655,302.1407532438458,283458337.7575795,938166.5158185781,282714676.57962984
ND,2040,296.24335506515445,221017078.646655,296.7928922012762,310129018.90036035,1044934.117526103,314888888.16891104
NE,2010,1105.0762301900047,2074107663.9098349,1145.21398800252,2091551260.0625105,1826341,2052454155.091076
NE,2020,1105.0762301900047,2074107663.9098349,1123.8066467823237,2204555577.7604837,1961685.832765408,2204555577.7604833
NE,2030,1105.0762301900047,2074107663.9098349,1091.7978269813464,2298171260.136668,2104942.1452786364,2365547973.956375
NE,2040,1105.0762301900047,2074107663.9098349,1093.1052882473791,2416417209.471436,2210598.7734683617,2484285594.992597
NH,2010,83.69717643555337,111059640.234195,75.42418290323597,99293674.06662306,1316470,112679833.94925952
NH,2020,83.69717643555337,111059640.234195,85.59240540935951,114995990.98485725,1343530.3101352314,114995990.98485725
NH,2030,83.69717643555337,111059640.234195,84.53605478674581,115794802.81729972,1369768.2380542662,117241758.34840482
NH,2040,83.69717643555337,111059640.234195,84.07369820971097,114912141.74938692,1366802.510135256,116987914.56202705
NJ,2010,1236.4278968424712,11050474381.380545,1241.296549564375,10913347686.33573,8791894,10750389514.342117
NJ,2020,1236.4278968424712,11050474381.380545,1222.761502168033,11140597308.333555,9111014.117291538,11140597308.333557
NJ,2030,1236.4278968424712,11050474381.380545,1188.8609359474544,11213602936.90142,9432224.239048462,11533360679.32463
NJ,2040,1236.4278968424712,11050474381.380545,1176.9370217533371,11247960736.885803,9556977.58587728,11685904269.093527
NM,2010,700.2886144543378,1431978058.33463,687.6587823064131,1416012523.6909375,2059179,1449675756.975247
NM,2020,700.2886144543378,1431978058.33463,704.0066730358297,1484644979.2782195,2108850.719945747,1484644979.2782197
NM,2030,700.2886144543378,1431978058.33463,705.6814936139185,1522542504.0647097,2157549.146240895,1518928996.3563476
NM,2040,700.2886144543378,1431978058.33463,702.6382117442973,1517981132.3491242,2160402.1913080136,1520937559.1220708
NV,2010,0,0,0,0,2700551,0
NV,2020,0,0,0,0,3074544.6777245514,0
NV,2030,0,0,0,0,3496812.5696997326,0
NV,2040,0,0,0,0,3892449.204570142,0
NY,2010,1871.6637090461732,36720849384.80379,1869.0987494729782,36219586215.35982,19378102,35840386513.215805
NY,2020,1871.6637090461732,36720849384.80379,1849.530284917264,37326207852.08886,20181452.640424643,37326207852.08886
NY,2030,1871.6637090461732,36720849384.80379,1792.9494166920733,37646513967.576294,20996974.93810659,38834541039.67693
NY,2040,1871.6637090461732,36720849384.80379,1784.6970344546444,38157911080.28574,21380609.898276534,39544085516.86427
OH,2010,784.0386745680856,9016680623.80765,793.2518736533532,9151353413.409403,11536504,9014964933.659512
OH,2020,784.0386745680856,9016680623.80765,781.4295330422034,9129799287.008997,11683458.201874636,9129799287.008999
OH,2030,784.0386745680856,9016680623.80765,755.0323501836103,8924775049.493158,11820387.62620279,9236799983.121485
OH,2040,784.0386745680856,9016680623.80765,747.0839861173633,8744208576.996887,11704451.89494828,9146204378.784367
