stabbr,year,agegroup,hhnum,taxexp,taxexp_m
CA,2020,a00to24,429220.6005740849,11151.758620689656,4786.564532629643
CA,2020,a25to34,2207165.737858862,16455.724137931036,36320.51050889844
CA,2020,a35to44,2560016.8939456665,21326.310344827587,54595.71476828686
CA,2020,a45to54,2677513.022770878,22171.172413793105,59363.60286802948
CA,2020,a55to64,2584899.2952369694,19187.310344827587,49597.26498783784
CA,2020,a65to74,1987735.0912938968,17454.58620689655,34695.093507462705
CA,2020,a75p,1481857.482627842,10388.896551724138,15394.864091419
CA,2040,a00to24,487125.8738012219,11151.758620689656,5432.310162523758
CA,2040,a25to34,2469436.8051758753,16455.724137931036,40636.37084202795
CA,2040,a35to44,3045177.0264571966,21326.310344827587,64942.39032116542
CA,2040,a45to54,3182815.8980475264,22171.172413793105,70566.76003697344
CA,2040,a55to64,2638884.2464033514,19187.310344827587,50633.09099981757
CA,2040,a65to74,2247149.7025179346,17454.58620689655,39223.06820240123
CA,2040,a75p,2593452.7168828095,10388.896551724138,26943.11198748342
NH,2020,a00to24,16524.282042558025,0,0
NH,2020,a25to34,72833.36465845142,0,0
NH,2020,a35to44,82320.22989199722,0,0
NH,2020,a45to54,105027.06199153487,0,0
NH,2020,a55to64,123558.03789051835,0,0
NH,2020,a65to74,90289.3881329684,0,0
NH,2020,a75p,66500.35546499226,0,0
NH,2040,a00to24,15301.50455055152,0,0
NH,2040,a25to34,65969.49634522577,0,0
NH,2040,a35to44,86167.180146977,0,0
NH,2040,a45to54,108499.88350473368,0,0
NH,2040,a55to64,97023.45945883392,0,0
NH,2040,a65to74,87480.91007827941,0,0
NH,2040,a75p,119388.986288638,0,0
NY,2020,a00to24,205218.38269432276,11167.6,2291.796810577119
NY,2020,a25to34,1129518.3964348242,17164.9,19388.070322964115
NY,2020,a35to44,1314335.751462505,22379.6,29414.308383430274
NY,2020,a45to54,1461894.6424234768,23823.1,34826.86225591872
NY,2020,a55to64,1518736.082658506,21812.2,33126.975182163864
NY,2020,a65to74,1151930.6707231388,20035.5,23079.50695327345
NY,2020,a75p,945295.564634798,13056.4,12342.157010097777
NY,2040,a00to24,213114.39642006226,11167.6,2379.9763334606873
NY,2040,a25to34,1112652.1964046003,17164.9,19098.563686065325
NY,2040,a35to44,1381097.7391697632,22379.6,30908.414963523628
NY,2040,a45to54,1607161.064654097,23823.1,38287.55875936102
NY,2040,a55to64,1414996.1047001898,21812.2,30864.17803494148
NY,2040,a65to74,1156204.7433652298,20035.5,23165.140135694062
NY,2040,a75p,1414357.0759109207,13056.4,18466.411725923343
OH,2020,a00to24,197644.8502383521,12347.5,2440.4197883180527
OH,2020,a25to34,703372.9756876513,19151.5,13470.647543882053
OH,2020,a35to44,756446.3332441086,24874.5,18816.22431628058
OH,2020,a45to54,851973.1556952421,26329.5,22432.027202877875
OH,2020,a55to64,956598.5151046705,23679,22651.296239163494
OH,2020,a65to74,781932.2909033118,21737,16996.862207365288
OH,2020,a75p,610394.6958634767,14259,8703.617968317314
OH,2040,a00to24,190496.932884688,12347.5,2352.160878793685
OH,2040,a25to34,669037.712127548,19151.5,12813.075743810734
OH,2040,a35to44,759476.537510119,24874.5,18891.599132295454
OH,2040,a45to54,857384.1069432376,26329.5,22574.494843761975
OH,2040,a55to64,808629.2067580761,23679,19147.53098682448
OH,2040,a65to74,726899.6690263709,21737,15800.618105626223
OH,2040,a75p,940304.681550315,14259,13407.804454225941
TN,2020,a00to24,113241.38459275082,13794.964285714286,1562.1608561218336
TN,2020,a25to34,404927.5256009733,21665.60714285714,8773.000690999914
TN,2020,a35to44,448578.6862864135,28136.464285714286,12621.418186030307
TN,2020,a45to54,486028.23222301,29611.464285714286,14392.00764032051
TN,2020,a55to64,522749.3488079249,26664.214285714286,13938.700654332111
TN,2020,a65to74,449986.65385919734,24349.214285714286,10956.821460529136
TN,2020,a75p,311172.4302461366,16524.428571428572,5141.946597000124
TN,2040,a00to24,125832.95617129044,13794.964285714286,1735.8611363488028
TN,2040,a25to34,451243.18420044956,21665.60714285714,9776.45755477886
TN,2040,a35to44,510513.9830435723,28136.464285714286,14364.05845126322
TN,2040,a45to54,540518.0780685409,29611.464285714286,16005.531764509526
TN,2040,a55to64,518470.6696702311,26664.214285714286,13824.61303694483
TN,2040,a65to74,482203.2609154353,24349.214285714286,11741.27052930013
TN,2040,a75p,515431.9355414282,16524.428571428572,8517.218202287508
TX,2020,a00to24,492783.4370628564,12229.25,6026.371847700936
TX,2020,a25to34,1822006.358345399,18990.75,34601.267249747885
TX,2020,a35to44,2024004.2664086053,24634.75,49860.83910190938
TX,2020,a45to54,1974585.3018767142,26097.75,51532.233562053014
TX,2020,a55to64,1880759.0445170545,23491.5,44181.85109427239
TX,2020,a65to74,1424758.3943473818,21555.5,30711.379569354987
TX,2020,a75p,940454.5765860532,14111,13270.754530205797
TX,2040,a00to24,659770.7055706092,12229.25,8068.500901099373
TX,2040,a25to34,2471039.292543969,18990.75,46926.88944487938
TX,2040,a35to44,2774670.3444863125,24634.75,68353.31026883419
TX,2040,a45to54,2637878.0018975637,26097.75,68842.68062402213
TX,2040,a55to64,2284909.004566454,23491.5,53675.93988077285
TX,2040,a65to74,1904943.586453492,21555.5,41062.011477798245
TX,2040,a75p,1883564.805032091,14111,26578.982963807834
